订单ID,用户ID,课程名称,课程类目,缴费数量,单价,缴费金额,缴费日期,学员省份,支付方式,缴费状态
ORD202600001,U93810,少儿启蒙,少儿游泳,10,81,810,2025-11-22,湖北,微信,已支付
ORD202600002,U81482,少儿启蒙,少儿游泳,5,117,585,2025-09-28,广东,微信,已支付
ORD202600003,U13478,考级冲刺,考级课程,10,205,2050,2026-03-19,陕西,微信,已支付
ORD202600004,U10851,成人进阶,成人游泳,5,144,720,2025-12-01,江苏,微信,已支付
ORD202600005,U23396,少儿启蒙,少儿游泳,1,104,104,2025-12-18,河南,支付宝,已支付
ORD202600006,U80284,少儿启蒙,少儿游泳,1,104,104,2025-12-05,安徽,支付宝,已支付
ORD202600007,U16006,暑期集训,集训课程,10,134,1340,2025-10-11,湖北,支付宝,已支付
ORD202600008,U69429,暑期集训,集训课程,5,173,865,2025-12-24,安徽,微信,已支付
ORD202600009,U99593,暑期集训,集训课程,10,124,1240,2025-11-03,湖北,微信,已支付
ORD202600010,U93886,暑期集训,集训课程,1,155,155,2025-12-13,上海,微信,已支付
ORD202600011,U51347,亲子游泳,亲子课程,1,167,167,2026-02-13,湖南,微信,已支付
ORD202600012,U94259,亲子游泳,亲子课程,1,159,159,2025-11-23,河南,支付宝,已支付
ORD202600013,U86484,亲子游泳,亲子课程,1,173,173,2025-10-26,重庆,微信,已支付
ORD202600014,U24371,成人进阶,成人游泳,1,140,140,2026-03-14,陕西,支付宝,已支付
ORD202600015,U88104,亲子游泳,亲子课程,1,183,183,2026-02-09,北京,支付宝,已支付
ORD202600016,U80381,一对一私教,私教课程,1,287,287,2026-01-10,山东,微信,部分退款
ORD202600017,U44522,考级冲刺,考级课程,5,202,1010,2025-10-18,福建,支付宝,已支付
ORD202600018,U36071,成人进阶,成人游泳,10,123,1230,2026-02-06,北京,支付宝,已支付
ORD202600019,U24662,一对一私教,私教课程,1,278,278,2025-11-21,广东,微信,已支付
ORD202600020,U19071,考级冲刺,考级课程,1,196,196,2026-01-20,山东,微信,已退款
ORD202600021,U65461,成人进阶,成人游泳,10,134,1340,2026-03-16,四川,支付宝,已支付
ORD202600022,U98039,暑期集训,集训课程,5,143,715,2026-01-31,辽宁,微信,已支付
ORD202600023,U54313,少儿启蒙,少儿游泳,10,117,1170,2026-02-18,湖北,微信,已支付
ORD202600024,U17716,成人进阶,成人游泳,20,104,2080,2025-12-14,广东,微信,已支付
ORD202600025,U73624,成人进阶,成人游泳,1,134,134,2026-02-14,重庆,微信,已支付
ORD202600026,U63354,成人进阶,成人游泳,1,106,106,2026-01-09,安徽,微信,已支付
ORD202600027,U17100,暑期集训,集训课程,30,161,4830,2025-10-16,上海,微信,已支付
ORD202600028,U24322,成人进阶,成人游泳,1,112,112,2026-01-13,江苏,微信,已支付
ORD202600029,U42742,少儿启蒙,少儿游泳,20,108,2160,2026-02-08,浙江,微信,部分退款
ORD202600030,U11934,少儿启蒙,少儿游泳,1,95,95,2026-01-23,重庆,微信,已支付
ORD202600031,U17685,成人进阶,成人游泳,1,124,124,2025-12-29,河南,银行卡,已支付
ORD202600032,U47388,亲子游泳,亲子课程,30,194,5820,2026-02-10,重庆,微信,已支付
ORD202600033,U17665,考级冲刺,考级课程,1,249,249,2025-12-10,上海,微信,已支付
ORD202600034,U79615,成人进阶,成人游泳,30,103,3090,2025-10-11,山东,微信,已支付
ORD202600035,U40828,亲子游泳,亲子课程,20,157,3140,2026-02-13,湖北,支付宝,已支付
ORD202600036,U20745,亲子游泳,亲子课程,10,192,1920,2026-02-01,湖南,银行卡,已支付
ORD202600037,U51180,成人进阶,成人游泳,5,116,580,2026-03-11,福建,微信,已退款
ORD202600038,U19508,少儿启蒙,少儿游泳,10,109,1090,2026-02-12,浙江,微信,已支付
ORD202600039,U44760,成人进阶,成人游泳,20,122,2440,2025-11-22,安徽,微信,已支付
ORD202600040,U81200,暑期集训,集训课程,10,139,1390,2026-03-07,北京,支付宝,已支付
ORD202600041,U96951,少儿启蒙,少儿游泳,1,88,88,2025-10-18,江苏,微信,已支付
ORD202600042,U54942,成人进阶,成人游泳,10,143,1430,2025-11-27,重庆,微信,已退款
ORD202600043,U16658,少儿启蒙,少儿游泳,5,120,600,2025-11-30,上海,微信,已支付
ORD202600044,U93507,一对一私教,私教课程,10,241,2410,2026-02-09,陕西,支付宝,已支付
ORD202600045,U29536,考级冲刺,考级课程,20,184,3680,2026-02-17,江苏,微信,已支付
ORD202600046,U57795,少儿启蒙,少儿游泳,1,102,102,2025-11-23,浙江,微信,已支付
ORD202600047,U63264,考级冲刺,考级课程,20,199,3980,2025-11-20,山东,银行卡,待支付
ORD202600048,U64040,少儿启蒙,少儿游泳,10,91,910,2025-12-15,陕西,支付宝,已退款
ORD202600049,U42527,一对一私教,私教课程,10,240,2400,2025-10-18,河北,支付宝,已退款
ORD202600050,U39154,成人进阶,成人游泳,5,129,645,2025-11-18,湖北,微信,已支付
ORD202600051,U53025,一对一私教,私教课程,30,217,6510,2025-12-01,安徽,支付宝,已支付
ORD202600052,U80282,一对一私教,私教课程,1,207,207,2025-11-26,山东,支付宝,部分退款
ORD202600053,U15014,少儿启蒙,少儿游泳,5,118,590,2025-12-10,陕西,支付宝,已支付
ORD202600054,U60488,考级冲刺,考级课程,1,204,204,2026-01-10,北京,微信,待支付
ORD202600055,U97900,成人进阶,成人游泳,5,123,615,2026-03-10,湖南,支付宝,已支付
ORD202600056,U26334,暑期集训,集训课程,5,177,885,2025-12-09,陕西,微信,已支付
ORD202600057,U82667,成人进阶,成人游泳,5,112,560,2025-12-27,山东,支付宝,已支付
ORD202600058,U81819,少儿启蒙,少儿游泳,1,99,99,2026-01-09,湖南,微信,已支付
ORD202600059,U38010,考级冲刺,考级课程,10,240,2400,2025-11-03,广东,微信,已支付
ORD202600060,U91167,一对一私教,私教课程,20,223,4460,2025-11-20,福建,微信,已支付
ORD202600061,U13201,少儿启蒙,少儿游泳,30,95,2850,2026-02-24,广东,微信,已退款
ORD202600062,U85454,成人进阶,成人游泳,10,145,1450,2026-01-25,河北,微信,已支付
ORD202600063,U10726,少儿启蒙,少儿游泳,1,107,107,2026-03-18,辽宁,微信,已支付
ORD202600064,U25906,亲子游泳,亲子课程,20,158,3160,2026-03-10,湖南,银行卡,已退款
ORD202600065,U90301,暑期集训,集训课程,5,177,885,2026-02-08,辽宁,支付宝,已支付
ORD202600066,U72216,亲子游泳,亲子课程,10,166,1660,2026-03-03,河南,支付宝,已支付
ORD202600067,U92149,成人进阶,成人游泳,5,117,585,2025-12-03,湖北,微信,已支付
ORD202600068,U80798,少儿启蒙,少儿游泳,1,88,88,2025-12-28,江苏,支付宝,已支付
ORD202600069,U63424,一对一私教,私教课程,5,338,1690,2025-10-06,四川,支付宝,已支付
ORD202600070,U86556,暑期集训,集训课程,20,121,2420,2026-02-15,河北,微信,已退款
ORD202600071,U49139,亲子游泳,亲子课程,5,176,880,2026-02-07,湖北,微信,已支付
ORD202600072,U73654,少儿启蒙,少儿游泳,5,104,520,2026-03-13,河北,支付宝,待支付
ORD202600073,U26728,考级冲刺,考级课程,1,248,248,2025-12-30,北京,微信,已支付
ORD202600074,U70515,成人进阶,成人游泳,1,103,103,2025-12-13,四川,微信,已支付
ORD202600075,U59692,一对一私教,私教课程,1,307,307,2025-10-11,重庆,微信,已支付
ORD202600076,U55870,成人进阶,成人游泳,1,141,141,2026-03-06,上海,支付宝,已退款
ORD202600077,U36130,少儿启蒙,少儿游泳,1,119,119,2025-10-23,重庆,支付宝,已支付
ORD202600078,U38569,亲子游泳,亲子课程,1,194,194,2025-12-24,山东,支付宝,部分退款
ORD202600079,U25012,成人进阶,成人游泳,1,119,119,2025-09-27,福建,支付宝,已退款
ORD202600080,U59192,亲子游泳,亲子课程,1,195,195,2026-02-19,湖北,微信,已支付
ORD202600081,U99687,考级冲刺,考级课程,10,195,1950,2026-02-12,上海,微信,已支付
ORD202600082,U58571,少儿启蒙,少儿游泳,10,112,1120,2025-09-24,陕西,支付宝,已支付
ORD202600083,U57472,暑期集训,集训课程,20,177,3540,2025-10-30,陕西,微信,已支付
ORD202600084,U95256,一对一私教,私教课程,10,337,3370,2026-01-18,陕西,支付宝,已支付
ORD202600085,U52245,成人进阶,成人游泳,1,105,105,2026-01-14,湖北,支付宝,已支付
ORD202600086,U97580,亲子游泳,亲子课程,1,171,171,2025-12-13,山东,微信,已支付
ORD202600087,U43862,一对一私教,私教课程,20,271,5420,2026-03-19,河南,支付宝,已支付
ORD202600088,U35042,少儿启蒙,少儿游泳,10,95,950,2026-01-24,湖北,支付宝,已支付
ORD202600089,U74332,亲子游泳,亲子课程,1,200,200,2025-12-05,湖北,微信,已支付
ORD202600090,U97026,考级冲刺,考级课程,5,227,1135,2026-02-03,安徽,微信,已支付
ORD202600091,U53357,一对一私教,私教课程,1,316,316,2025-11-24,湖北,微信,已支付
ORD202600092,U25670,暑期集训,集训课程,30,154,4620,2026-03-16,山东,微信,已支付
ORD202600093,U46241,暑期集训,集训课程,30,157,4710,2026-02-02,福建,银行卡,待支付
ORD202600094,U48829,成人进阶,成人游泳,1,123,123,2025-09-24,江苏,微信,部分退款
ORD202600095,U82529,一对一私教,私教课程,10,232,2320,2026-01-24,浙江,支付宝,已支付
ORD202600096,U71524,亲子游泳,亲子课程,5,178,890,2025-10-04,河南,银行卡,已支付
ORD202600097,U18564,亲子游泳,亲子课程,1,181,181,2026-03-01,上海,微信,待支付
ORD202600098,U49824,少儿启蒙,少儿游泳,1,95,95,2026-01-05,湖北,支付宝,已支付
ORD202600099,U68028,一对一私教,私教课程,30,350,10500,2025-12-08,上海,支付宝,已支付
ORD202600100,U37235,暑期集训,集训课程,1,133,133,2025-10-11,山东,微信,已支付
ORD202600101,U30517,少儿启蒙,少儿游泳,5,106,530,2026-02-20,重庆,微信,已支付
ORD202600102,U47056,暑期集训,集训课程,5,175,875,2026-03-15,湖北,银行卡,已支付
ORD202600103,U91927,考级冲刺,考级课程,5,205,1025,2026-02-07,湖北,支付宝,已退款
ORD202600104,U28643,少儿启蒙,少儿游泳,1,83,83,2025-12-08,福建,微信,已支付
ORD202600105,U49857,暑期集训,集训课程,20,145,2900,2026-01-27,重庆,微信,已支付
ORD202600106,U66626,暑期集训,集训课程,10,140,1400,2025-09-27,广东,微信,已支付
ORD202600107,U85392,考级冲刺,考级课程,30,182,5460,2026-03-12,河南,支付宝,已支付
ORD202600108,U32962,亲子游泳,亲子课程,10,183,1830,2025-12-01,山东,银行卡,已支付
ORD202600109,U74451,少儿启蒙,少儿游泳,5,110,550,2025-12-15,湖南,支付宝,已退款
ORD202600110,U53228,亲子游泳,亲子课程,5,194,970,2026-03-09,河北,支付宝,已支付
ORD202600111,U69614,少儿启蒙,少儿游泳,1,100,100,2025-10-20,河北,支付宝,待支付
ORD202600112,U10150,暑期集训,集训课程,5,175,875,2026-01-04,上海,微信,已支付
ORD202600113,U75338,暑期集训,集训课程,10,148,1480,2025-11-12,河南,微信,已退款
ORD202600114,U67424,暑期集训,集训课程,1,151,151,2026-03-01,湖北,支付宝,已支付
ORD202600115,U11792,考级冲刺,考级课程,1,232,232,2025-10-20,辽宁,银行卡,已支付
ORD202600116,U30181,亲子游泳,亲子课程,1,195,195,2026-03-20,河南,微信,已支付
ORD202600117,U71894,成人进阶,成人游泳,10,129,1290,2025-12-28,四川,银行卡,已支付
ORD202600118,U27892,少儿启蒙,少儿游泳,10,97,970,2026-01-05,湖南,银行卡,已支付
ORD202600119,U10336,一对一私教,私教课程,20,276,5520,2026-02-16,重庆,支付宝,已支付
ORD202600120,U73483,一对一私教,私教课程,10,285,2850,2026-02-07,河北,微信,已支付
ORD202600121,U34727,暑期集训,集训课程,10,135,1350,2025-11-19,陕西,微信,已支付
ORD202600122,U59968,亲子游泳,亲子课程,10,192,1920,2026-03-06,江苏,微信,已支付
ORD202600123,U75836,考级冲刺,考级课程,20,222,4440,2026-01-11,浙江,微信,已支付
ORD202600124,U28894,亲子游泳,亲子课程,30,191,5730,2025-10-10,重庆,支付宝,已支付
ORD202600125,U91691,暑期集训,集训课程,10,145,1450,2025-12-14,河北,银行卡,已支付
ORD202600126,U73956,考级冲刺,考级课程,10,184,1840,2025-11-20,福建,银行卡,已支付
ORD202600127,U66881,少儿启蒙,少儿游泳,10,120,1200,2025-10-16,辽宁,微信,已支付
ORD202600128,U13794,少儿启蒙,少儿游泳,10,100,1000,2025-12-05,安徽,微信,已支付
ORD202600129,U79621,亲子游泳,亲子课程,10,186,1860,2025-11-06,山东,微信,已支付
ORD202600130,U60140,考级冲刺,考级课程,5,210,1050,2026-02-17,江苏,微信,已支付
ORD202600131,U70236,一对一私教,私教课程,20,202,4040,2026-01-18,福建,支付宝,已支付
ORD202600132,U67898,一对一私教,私教课程,1,350,350,2026-01-07,河南,微信,已支付
ORD202600133,U60422,亲子游泳,亲子课程,1,156,156,2026-02-14,安徽,支付宝,部分退款
ORD202600134,U48696,少儿启蒙,少儿游泳,1,105,105,2026-02-12,上海,银行卡,已支付
ORD202600135,U47512,成人进阶,成人游泳,20,138,2760,2025-11-16,四川,支付宝,已支付
ORD202600136,U96400,暑期集训,集训课程,1,173,173,2025-10-15,上海,微信,已支付
ORD202600137,U85965,一对一私教,私教课程,1,233,233,2025-12-05,湖南,支付宝,已支付
ORD202600138,U27322,考级冲刺,考级课程,5,226,1130,2025-11-29,山东,微信,待支付
ORD202600139,U73156,一对一私教,私教课程,20,286,5720,2026-01-18,广东,微信,部分退款
ORD202600140,U98647,暑期集训,集训课程,30,163,4890,2026-02-10,安徽,微信,已支付
ORD202600141,U44663,考级冲刺,考级课程,5,195,975,2026-03-12,河南,支付宝,待支付
ORD202600142,U58689,少儿启蒙,少儿游泳,5,94,470,2026-02-26,湖南,银行卡,已支付
ORD202600143,U18285,暑期集训,集训课程,5,172,860,2026-03-19,福建,支付宝,已支付
ORD202600144,U15943,少儿启蒙,少儿游泳,30,99,2970,2025-10-20,浙江,微信,已支付
ORD202600145,U60940,亲子游泳,亲子课程,10,173,1730,2026-03-18,陕西,支付宝,已支付
ORD202600146,U64379,暑期集训,集训课程,20,126,2520,2026-02-25,陕西,银行卡,已支付
ORD202600147,U58566,成人进阶,成人游泳,5,128,640,2025-11-20,安徽,微信,已支付
ORD202600148,U81364,暑期集训,集训课程,1,142,142,2025-11-30,四川,银行卡,已退款
ORD202600149,U69600,少儿启蒙,少儿游泳,10,93,930,2026-02-20,北京,微信,已支付
ORD202600150,U26505,考级冲刺,考级课程,1,206,206,2026-02-09,四川,支付宝,待支付
ORD202600151,U40539,一对一私教,私教课程,10,237,2370,2026-02-20,北京,微信,部分退款
ORD202600152,U27038,考级冲刺,考级课程,10,212,2120,2025-10-19,北京,微信,已支付
ORD202600153,U41186,考级冲刺,考级课程,1,221,221,2025-11-27,上海,微信,已支付
ORD202600154,U24896,暑期集训,集训课程,5,124,620,2025-12-22,浙江,微信,已支付
ORD202600155,U90623,少儿启蒙,少儿游泳,5,113,565,2026-03-04,北京,微信,已支付
ORD202600156,U62640,亲子游泳,亲子课程,1,193,193,2026-01-12,广东,支付宝,已支付
ORD202600157,U29442,少儿启蒙,少儿游泳,1,88,88,2026-03-02,湖南,微信,已支付
ORD202600158,U48652,亲子游泳,亲子课程,10,182,1820,2025-10-16,浙江,支付宝,已支付
ORD202600159,U82264,暑期集训,集训课程,1,175,175,2026-01-14,湖北,微信,待支付
ORD202600160,U62262,亲子游泳,亲子课程,1,196,196,2026-01-08,湖南,支付宝,已支付
ORD202600161,U30006,暑期集训,集训课程,5,179,895,2025-10-14,广东,微信,已支付
ORD202600162,U58843,成人进阶,成人游泳,1,135,135,2026-02-11,湖南,支付宝,已支付
ORD202600163,U97207,亲子游泳,亲子课程,1,196,196,2025-12-03,福建,微信,已支付
ORD202600164,U37884,成人进阶,成人游泳,5,142,710,2025-10-18,安徽,支付宝,已支付
ORD202600165,U46512,考级冲刺,考级课程,20,208,4160,2026-02-11,北京,支付宝,已支付
ORD202600166,U45054,少儿启蒙,少儿游泳,1,91,91,2025-12-09,湖南,微信,已支付
ORD202600167,U28776,考级冲刺,考级课程,1,231,231,2026-03-02,北京,微信,已支付
ORD202600168,U59308,亲子游泳,亲子课程,5,179,895,2025-12-24,福建,支付宝,已支付
ORD202600169,U84395,考级冲刺,考级课程,20,190,3800,2025-10-30,山东,支付宝,已支付
ORD202600170,U20693,一对一私教,私教课程,10,313,3130,2026-01-23,辽宁,微信,已支付
ORD202600171,U77154,少儿启蒙,少儿游泳,5,102,510,2025-12-02,重庆,微信,已支付
ORD202600172,U38903,亲子游泳,亲子课程,1,188,188,2025-11-12,福建,银行卡,已支付
ORD202600173,U43491,一对一私教,私教课程,1,283,283,2026-01-26,陕西,微信,已支付
ORD202600174,U40161,考级冲刺,考级课程,1,225,225,2025-10-01,陕西,微信,已退款
ORD202600175,U51033,考级冲刺,考级课程,10,234,2340,2026-03-03,陕西,微信,已支付
ORD202600176,U52568,成人进阶,成人游泳,5,139,695,2026-03-16,安徽,微信,待支付
ORD202600177,U41891,亲子游泳,亲子课程,5,187,935,2025-10-11,河北,支付宝,已支付
ORD202600178,U39041,一对一私教,私教课程,1,243,243,2026-03-02,浙江,微信,已支付
ORD202600179,U55793,一对一私教,私教课程,1,237,237,2025-10-28,河南,微信,已支付
ORD202600180,U95918,少儿启蒙,少儿游泳,30,91,2730,2026-02-28,重庆,微信,已支付
ORD202600181,U85952,亲子游泳,亲子课程,20,193,3860,2026-02-12,湖南,支付宝,已支付
ORD202600182,U29786,亲子游泳,亲子课程,5,154,770,2026-03-01,福建,支付宝,已支付
ORD202600183,U56129,考级冲刺,考级课程,5,189,945,2026-01-14,上海,微信,待支付
ORD202600184,U20057,暑期集训,集训课程,30,175,5250,2025-10-14,河北,微信,已支付
ORD202600185,U15376,亲子游泳,亲子课程,10,186,1860,2025-12-12,重庆,微信,部分退款
ORD202600186,U69050,少儿启蒙,少儿游泳,30,101,3030,2025-10-12,山东,微信,已支付
ORD202600187,U67595,考级冲刺,考级课程,10,246,2460,2025-12-23,安徽,银行卡,已支付
ORD202600188,U54350,暑期集训,集训课程,1,158,158,2026-03-01,湖南,微信,已支付
ORD202600189,U98916,亲子游泳,亲子课程,1,168,168,2026-03-08,江苏,微信,已支付
ORD202600190,U28537,一对一私教,私教课程,30,279,8370,2026-03-18,河北,微信,已支付
ORD202600191,U21104,一对一私教,私教课程,5,343,1715,2025-12-14,江苏,支付宝,待支付
ORD202600192,U99838,考级冲刺,考级课程,10,191,1910,2026-01-07,安徽,微信,已支付
ORD202600193,U38074,一对一私教,私教课程,1,324,324,2025-10-26,江苏,微信,待支付
ORD202600194,U23256,考级冲刺,考级课程,20,249,4980,2026-02-02,上海,支付宝,已退款
ORD202600195,U91006,成人进阶,成人游泳,5,138,690,2025-11-01,山东,支付宝,已支付
ORD202600196,U31697,暑期集训,集训课程,1,148,148,2025-12-23,湖北,银行卡,已支付
ORD202600197,U68841,成人进阶,成人游泳,1,134,134,2026-01-19,四川,微信,已退款
ORD202600198,U67749,亲子游泳,亲子课程,1,199,199,2025-12-27,陕西,银行卡,待支付
ORD202600199,U89254,成人进阶,成人游泳,1,116,116,2026-01-22,安徽,支付宝,已支付
ORD202600200,U77621,少儿启蒙,少儿游泳,1,98,98,2025-11-01,河南,微信,已支付
